year,date,team1,team2,team1_venue,team1_outcome,team1_score,team2_score
2013,11/9/12,Pepperdine,Cal St. Northridge,A,L,75,81
2013,11/13/12,Pepperdine,California,A,L,62,79
2013,11/16/12,Pepperdine,Washington St.,H,W,58,56
2013,11/20/12,Pepperdine,Houston Christian,A,W,57,53
2013,11/24/12,Pepperdine,UC Irvine,H,W,72,62
2013,11/29/12,Pepperdine,Montana St.,A,W,76,66
2013,12/1/12,Pepperdine,Utah Valley,A,L,63,67
2013,12/5/12,Pepperdine,UC Riverside,H,W,62,40
2013,12/16/12,Pepperdine,Central Michigan,H,L,77,80
2013,12/19/12,Pepperdine,Alabama St.,N,W,66,58
2013,12/20/12,Pepperdine,Tulane,A,L,54,69
2013,1/3/13,Pepperdine,Gonzaga,H,L,62,78
2013,1/5/13,Pepperdine,Portland,H,W,54,47
2013,1/10/13,Pepperdine,BYU,A,L,51,76
2013,1/12/13,Pepperdine,San Diego,H,L,50,62
2013,1/19/13,Pepperdine,Santa Clara,H,L,76,83
2013,1/24/13,Pepperdine,Loyola Marymount,A,W,60,57
2013,1/26/13,Pepperdine,Saint Mary's,A,L,72,84
2013,1/31/13,Pepperdine,BYU,H,L,61,63
2013,2/2/13,Pepperdine,San Francisco,H,L,78,86
2013,2/7/13,Pepperdine,Gonzaga,A,L,56,82
2013,2/9/13,Pepperdine,Portland,A,W,72,68
2013,2/14/13,Pepperdine,Loyola Marymount,H,W,52,50
2013,2/16/13,Pepperdine,Santa Clara,A,L,60,70
2013,2/23/13,Pepperdine,San Francisco,A,L,58,64
2013,2/27/13,Pepperdine,Saint Mary's,H,L,48,87
2013,3/2/13,Pepperdine,San Diego,A,L,69,76
2013,3/7/13,Pepperdine,San Diego,N,L,59,62
2013,11/9/12,Middle Tennessee,Alabama St.,H,W,97,53
2013,11/13/12,Middle Tennessee,Savannah St.,A,W,58,55
2013,11/18/12,Middle Tennessee,Florida,A,L,45,66
2013,11/20/12,Middle Tennessee,UCF,A,W,75,61
2013,11/24/12,Middle Tennessee,Texas Southern,H,W,79,52
2013,11/29/12,Middle Tennessee,Louisiana Lafayette,A,W,72,58
2013,12/2/12,Middle Tennessee,Akron,A,L,77,82
2013,12/5/12,Middle Tennessee,UAB,H,W,84,64
2013,12/8/12,Middle Tennessee,Mississippi,H,W,65,62
2013,12/13/12,Middle Tennessee,Belmont,A,L,49,64
2013,12/18/12,Middle Tennessee,Tennessee St.,H,W,77,48
2013,12/21/12,Middle Tennessee,Vanderbilt,N,W,56,52
2013,12/29/12,Middle Tennessee,FIU,H,W,69,52
2013,12/31/12,Middle Tennessee,North Texas,H,W,75,57
2013,1/3/13,Middle Tennessee,Arkansas St.,A,L,60,66
2013,1/5/13,Middle Tennessee,South Alabama,A,W,60,56
2013,1/10/13,Middle Tennessee,Florida Atlantic,H,W,62,52
2013,1/12/13,Middle Tennessee,Louisiana Monroe,A,W,66,57
2013,1/17/13,Middle Tennessee,Little Rock,H,W,82,50
2013,1/19/13,Middle Tennessee,Louisiana Lafayette,H,W,82,60
2013,1/24/13,Middle Tennessee,North Texas,A,W,72,64
2013,1/26/13,Middle Tennessee,Western Kentucky,H,W,72,53
2013,1/31/13,Middle Tennessee,FIU,A,W,66,64
2013,2/2/13,Middle Tennessee,Florida Atlantic,A,W,73,56
2013,2/7/13,Middle Tennessee,Arkansas St.,H,W,73,60
2013,2/9/13,Middle Tennessee,Troy,H,W,93,41
2013,2/16/13,Middle Tennessee,Little Rock,A,W,66,61
2013,2/21/13,Middle Tennessee,South Alabama,H,W,85,50
2013,2/23/13,Middle Tennessee,Louisiana Monroe,H,W,87,46
2013,2/28/13,Middle Tennessee,Troy,A,W,66,56
2013,3/2/13,Middle Tennessee,Western Kentucky,A,W,70,62
2013,3/9/13,Middle Tennessee,Louisiana Lafayette,N,W,81,66
2013,3/10/13,Middle Tennessee,FIU,N,L,57,61
2013,3/19/13,Middle Tennessee,Saint Mary's,N,L,54,67
2013,11/9/12,Denver,Iona,A,L,58,65
2013,11/14/12,Denver,Texas A&M Corpus Chr,H,W,68,51
2013,11/16/12,Denver,California,H,L,61,72
2013,11/21/12,Denver,Colorado St.,H,L,53,60
2013,11/27/12,Denver,Southern Miss,A,L,50,61
2013,12/2/12,Denver,Stanford,A,L,58,71
2013,12/5/12,Denver,Mercer,H,W,69,40
2013,12/15/12,Denver,Nebraska Omaha,H,W,82,47
2013,12/18/12,Denver,Wyoming,A,L,61,71
2013,12/21/12,Denver,Southern Utah,H,W,72,47
2013,12/29/12,Denver,Louisiana Tech,A,L,60,68
2013,12/31/12,Denver,UT Arlington,A,W,50,35
2013,1/3/13,Denver,Texas St.,H,W,64,53
2013,1/6/13,Denver,UTSA,H,W,75,50
2013,1/10/13,Denver,Idaho,A,W,55,49
2013,1/12/13,Denver,Seattle,A,W,64,51
2013,1/17/13,Denver,San Jose St.,H,W,73,37
2013,1/19/13,Denver,Utah St.,H,W,68,57
2013,1/23/13,Denver,New Mexico St.,A,L,42,53
2013,1/31/13,Denver,UTSA,A,W,71,57
2013,2/2/13,Denver,Texas St.,A,W,79,64
2013,2/7/13,Denver,Seattle,H,W,72,55
2013,2/9/13,Denver,Idaho,H,W,74,58
2013,2/14/13,Denver,Utah St.,A,W,63,60
2013,2/16/13,Denver,San Jose St.,A,W,62,41
2013,2/23/13,Denver,Northern Iowa,A,W,63,57
2013,3/2/13,Denver,New Mexico St.,H,W,66,60
2013,3/7/13,Denver,UT Arlington,H,W,84,55
2013,3/9/13,Denver,Louisiana Tech,H,W,78,54
2013,3/14/13,Denver,Texas St.,N,L,68,72
2013,3/19/13,Denver,Ohio,H,W,61,57
2013,3/21/13,Denver,Maryland,A,L,52,62
2013,11/9/12,Troy,Mississippi St.,H,W,56,53
2013,11/12/12,Troy,Texas A&M,A,L,65,83
2013,11/18/12,Troy,Louisiana Tech,N,L,46,70
2013,11/19/12,Troy,Chattanooga,A,W,68,61
2013,11/20/12,Troy,Southeast Missouri S,N,W,59,56
2013,11/25/12,Troy,Alabama St.,H,W,66,62
2013,11/27/12,Troy,UAB,H,L,55,75
2013,11/29/12,Troy,Little Rock,A,L,56,58
2013,12/1/12,Troy,Western Kentucky,H,L,71,75
2013,12/8/12,Troy,Utah Valley,H,L,82,86
2013,12/13/12,Troy,Alabama St.,A,L,68,74
2013,12/15/12,Troy,Georgia St.,H,W,57,56
2013,12/19/12,Troy,Utah Valley,A,L,64,67
2013,12/27/12,Troy,Florida Atlantic,H,L,54,61
2013,1/3/13,Troy,North Texas,A,L,59,76
2013,1/5/13,Troy,Little Rock,H,W,67,64
2013,1/10/13,Troy,Louisiana Monroe,H,W,64,55
2013,1/17/13,Troy,Florida Atlantic,A,L,59,80
2013,1/19/13,Troy,FIU,A,L,55,61
2013,1/24/13,Troy,Arkansas St.,H,W,74,67
2013,1/26/13,Troy,Louisiana Monroe,A,W,71,64
2013,1/31/13,Troy,Western Kentucky,A,L,61,65
2013,2/2/13,Troy,Louisiana Lafayette,H,W,71,52
2013,2/7/13,Troy,South Alabama,A,L,62,65
2013,2/9/13,Troy,Middle Tennessee,A,L,41,93
2013,2/14/13,Troy,FIU,H,W,69,61
2013,2/16/13,Troy,North Texas,H,L,61,63
2013,2/21/13,Troy,Louisiana Lafayette,A,L,66,76
2013,2/23/13,Troy,Arkansas St.,A,L,50,58
2013,2/28/13,Troy,Middle Tennessee,H,L,56,66
2013,3/2/13,Troy,South Alabama,H,L,49,53
2013,3/8/13,Troy,Florida Atlantic,N,W,81,79
2013,3/9/13,Troy,Arkansas St.,N,L,63,68
2013,11/9/12,Lehigh,Baylor,A,L,77,99
2013,11/12/12,Lehigh,Robert Morris,N,W,89,60
2013,11/13/12,Lehigh,Pittsburgh,A,L,53,78
2013,11/19/12,Lehigh,Fairfield,H,W,82,67
2013,11/20/12,Lehigh,Penn,H,W,73,66
2013,11/25/12,Lehigh,Sacred Heart,A,W,91,77
2013,11/27/12,Lehigh,Quinnipiac,A,W,77,66
2013,12/1/12,Lehigh,Fairleigh Dickinson,H,W,102,62
2013,12/4/12,Lehigh,Fordham,H,W,81,63
2013,12/8/12,Lehigh,St. Francis PA,A,W,83,67
2013,12/20/12,Lehigh,North Texas,A,W,90,75
2013,12/29/12,Lehigh,Bryant,H,L,79,80
2013,1/5/13,Lehigh,VCU,A,L,55,59
2013,1/12/13,Lehigh,Holy Cross,H,W,79,47
2013,1/16/13,Lehigh,American,A,W,63,57
2013,1/19/13,Lehigh,Colgate,H,W,60,45
2013,1/23/13,Lehigh,Bucknell,A,W,65,62
2013,1/27/13,Lehigh,Lafayette,H,L,57,78
2013,1/30/13,Lehigh,Navy,A,W,71,49
2013,2/3/13,Lehigh,Army,A,W,85,76
2013,2/9/13,Lehigh,Holy Cross,A,W,68,61
2013,2/13/13,Lehigh,American,H,W,60,47
2013,2/16/13,Lehigh,Colgate,A,L,60,64
2013,2/18/13,Lehigh,Bucknell,H,L,55,61
2013,2/24/13,Lehigh,Lafayette,A,L,71,79
2013,2/27/13,Lehigh,Navy,H,W,72,43
2013,3/2/13,Lehigh,Army,H,W,81,75
2013,3/6/13,Lehigh,Colgate,H,W,71,64
2013,3/9/13,Lehigh,Lafayette,A,L,69,82
2013,3/19/13,Lehigh,Wyoming,A,L,66,67
2013,11/9/12,Northern Illinois,Nebraska Omaha,A,L,64,77
2013,11/13/12,Northern Illinois,Valparaiso,A,L,46,69
2013,11/24/12,Northern Illinois,Loyola Chicago,H,L,46,53
2013,11/27/12,Northern Illinois,Illinois Chicago,H,L,46,58
2013,12/1/12,Northern Illinois,Dayton,A,L,43,60
2013,12/5/12,Northern Illinois,SIU Edwardsville,H,W,65,54
2013,12/7/12,Northern Illinois,Milwaukee,A,L,73,80
2013,12/16/12,Northern Illinois,DePaul,A,L,64,69
2013,12/19/12,Northern Illinois,Seattle,A,L,48,75
2013,12/22/12,Northern Illinois,Washington,A,L,57,67
2013,12/29/12,Northern Illinois,Massachusetts,H,L,59,64
2013,1/9/13,Northern Illinois,Miami OH,A,W,72,61
2013,1/12/13,Northern Illinois,Akron,H,L,53,68
2013,1/16/13,Northern Illinois,Ohio,A,L,63,81
2013,1/19/13,Northern Illinois,Western Michigan,H,L,34,71
2013,1/23/13,Northern Illinois,Central Michigan,A,W,74,61
2013,1/26/13,Northern Illinois,Eastern Michigan,A,L,25,42
2013,1/30/13,Northern Illinois,Kent St.,H,W,67,65
2013,2/2/13,Northern Illinois,Toledo,H,L,64,69
2013,2/6/13,Northern Illinois,Bowling Green,H,L,41,57
2013,2/9/13,Northern Illinois,Buffalo,A,L,54,59
2013,2/13/13,Northern Illinois,Ball St.,H,L,52,56
2013,2/16/13,Northern Illinois,Western Michigan,A,L,58,66
2013,2/23/13,Northern Illinois,Eastern Illinois,H,L,47,59
2013,2/27/13,Northern Illinois,Eastern Michigan,H,L,41,53
2013,3/2/13,Northern Illinois,Central Michigan,H,L,50,69
2013,3/5/13,Northern Illinois,Toledo,A,L,46,70
2013,3/9/13,Northern Illinois,Ball St.,A,L,51,53
2013,3/11/13,Northern Illinois,Eastern Michigan,A,L,44,45
2013,11/10/12,Central Arkansas,Arizona St.,A,L,64,79
2013,11/21/12,Central Arkansas,Arkansas St.,H,L,72,73
2013,11/24/12,Central Arkansas,Sacramento St.,H,L,68,71
2013,11/28/12,Central Arkansas,Eastern Illinois,A,W,74,72
2013,12/5/12,Central Arkansas,Tennessee Martin,H,W,87,86
2013,12/8/12,Central Arkansas,Southeast Missouri S,A,W,88,85
2013,12/16/12,Central Arkansas,Oklahoma St.,A,L,63,91
2013,12/22/12,Central Arkansas,Mississippi St.,N,L,72,79
2013,1/3/13,Central Arkansas,Nicholls St.,A,L,79,83
2013,1/5/13,Central Arkansas,Southeastern Louisia,A,L,68,72
2013,1/10/13,Central Arkansas,Stephen F. Austin,H,L,69,77
2013,1/12/13,Central Arkansas,Northwestern St.,H,L,88,100
2013,1/17/13,Central Arkansas,Sam Houston St.,A,L,52,63
2013,1/19/13,Central Arkansas,Texas A&M Corpus Chr,A,W,76,67
2013,1/24/13,Central Arkansas,McNeese St.,H,W,103,98
2013,1/26/13,Central Arkansas,Lamar,H,W,88,59
2013,1/31/13,Central Arkansas,Southeastern Louisia,H,L,69,70
2013,2/2/13,Central Arkansas,Nicholls St.,H,W,79,76
2013,2/7/13,Central Arkansas,Stephen F. Austin,A,L,36,72
2013,2/9/13,Central Arkansas,Northwestern St.,A,L,73,93
2013,2/14/13,Central Arkansas,Texas A&M Corpus Chr,H,L,68,75
2013,2/16/13,Central Arkansas,Sam Houston St.,H,L,75,80
2013,2/19/13,Central Arkansas,Oral Roberts,A,L,65,94
2013,2/23/13,Central Arkansas,SIU Edwardsville,H,W,80,78
2013,2/28/13,Central Arkansas,Lamar,A,W,106,99
2013,3/2/13,Central Arkansas,McNeese St.,A,W,68,67
2013,3/9/13,Central Arkansas,Oral Roberts,H,W,86,84
2013,3/13/13,Central Arkansas,Sam Houston St.,N,L,63,69
2013,11/13/12,Massachusetts,Harvard,H,W,67,64
2013,11/15/12,Massachusetts,Providence,N,W,77,75
2013,11/16/12,Massachusetts,North Carolina St.,N,L,76,94
2013,11/18/12,Massachusetts,Tennessee,N,L,69,83
2013,11/28/12,Massachusetts,Siena,A,W,64,63
2013,12/1/12,Massachusetts,Miami FL,H,L,62,75
2013,12/4/12,Massachusetts,Northeastern,A,W,72,66
2013,12/15/12,Massachusetts,Elon,H,W,78,73
2013,12/19/12,Massachusetts,Ohio,H,W,85,76
2013,12/22/12,Massachusetts,East Carolina,H,W,88,81
2013,12/29/12,Massachusetts,Northern Illinois,A,W,64,59
2013,1/2/13,Massachusetts,Miami OH,A,W,70,69
2013,1/5/13,Massachusetts,Eastern Michigan,H,W,75,61
2013,1/10/13,Massachusetts,Saint Louis,A,L,62,70
2013,1/13/13,Massachusetts,Fordham,A,W,77,73
2013,1/17/13,Massachusetts,Duquesne,H,W,79,66
2013,1/19/13,Massachusetts,George Washington,H,L,76,79
2013,1/27/13,Massachusetts,Richmond,H,W,70,65
2013,1/30/13,Massachusetts,La Salle,A,W,61,60
2013,2/2/13,Massachusetts,Charlotte,A,L,65,66
2013,2/6/13,Massachusetts,Rhode Island,H,W,81,53
2013,2/9/13,Massachusetts,Saint Joseph's,H,W,80,62
2013,2/14/13,Massachusetts,VCU,A,L,68,86
2013,2/16/13,Massachusetts,Temple,H,L,82,83
2013,2/20/13,Massachusetts,St. Bonaventure,A,L,94,99
2013,2/23/13,Massachusetts,Dayton,H,W,76,66
2013,3/2/13,Massachusetts,Xavier,A,W,77,72
2013,3/7/13,Massachusetts,Butler,H,L,62,73
2013,3/9/13,Massachusetts,Rhode Island,A,W,75,66
2013,3/14/13,Massachusetts,George Washington,N,W,77,72
2013,3/15/13,Massachusetts,Temple,N,W,79,74
2013,3/16/13,Massachusetts,VCU,N,L,62,71
2013,3/20/13,Massachusetts,Stony Brook,H,L,58,71
2013,11/9/12,Cal St. Northridge,Pepperdine,H,W,81,75
2013,11/12/12,Cal St. Northridge,Eastern Washington,H,W,96,79
2013,11/15/12,Cal St. Northridge,San Diego,A,W,74,71
2013,11/16/12,Cal St. Northridge,Siena,N,W,68,64
2013,11/17/12,Cal St. Northridge,Tulsa,N,W,92,76
2013,11/18/12,Cal St. Northridge,Northern Kentucky,N,W,69,58
2013,11/24/12,Cal St. Northridge,BYU,A,L,75,87
2013,11/28/12,Cal St. Northridge,UCLA,A,L,56,82
2013,12/8/12,Cal St. Northridge,Arizona St.,A,L,76,87
2013,12/21/12,Cal St. Northridge,Utah,A,W,76,71
2013,12/29/12,Cal St. Northridge,Hawaii,A,L,71,74
2013,1/3/13,Cal St. Northridge,UC Riverside,H,L,64,65
2013,1/5/13,Cal St. Northridge,Cal St. Fullerton,H,L,86,105
2013,1/9/13,Cal St. Northridge,Long Beach St.,A,L,69,78
2013,1/12/13,Cal St. Northridge,UC Irvine,A,L,69,79
2013,1/17/13,Cal St. Northridge,UC Davis,H,L,71,74
2013,1/19/13,Cal St. Northridge,Pacific,H,L,62,74
2013,1/24/13,Cal St. Northridge,UC Santa Barbara,A,W,75,69
2013,1/26/13,Cal St. Northridge,Cal Poly,A,L,64,75
2013,1/31/13,Cal St. Northridge,Cal St. Fullerton,A,W,92,86
2013,2/2/13,Cal St. Northridge,UC Riverside,A,W,69,53
2013,2/7/13,Cal St. Northridge,UC Irvine,H,W,70,61
2013,2/9/13,Cal St. Northridge,Long Beach St.,H,L,80,83
2013,2/14/13,Cal St. Northridge,Pacific,A,L,59,66
2013,2/16/13,Cal St. Northridge,UC Davis,A,L,61,73
2013,2/23/13,Cal St. Northridge,Southern Utah,A,L,72,73
2013,2/28/13,Cal St. Northridge,Cal Poly,H,L,61,81
2013,3/2/13,Cal St. Northridge,UC Santa Barbara,H,L,74,83
2013,3/7/13,Cal St. Northridge,Hawaii,H,W,88,75
2013,11/10/12,Green Bay,Chicago St.,H,W,72,67
2013,11/16/12,Green Bay,Southern Utah,N,W,66,54
2013,11/17/12,Green Bay,Nevada,A,L,69,71
2013,11/18/12,Green Bay,Cal St. Fullerton,N,L,82,93
2013,11/20/12,Green Bay,Idaho,A,L,62,72
2013,11/24/12,Green Bay,North Dakota St.,H,W,74,59
2013,12/1/12,Green Bay,Virginia,A,L,51,67
2013,12/6/12,Green Bay,Tennessee Tech,A,L,68,74
2013,12/12/12,Green Bay,Wisconsin,A,L,54,65
2013,12/15/12,Green Bay,Southern Illinois,H,L,70,72
2013,12/19/12,Green Bay,Marquette,H,W,49,47
2013,12/22/12,Green Bay,South Dakota,H,W,72,55
2013,1/3/13,Green Bay,Wright St.,A,L,53,64
2013,1/5/13,Green Bay,Detroit,A,L,76,84
2013,1/9/13,Green Bay,Loyola Chicago,H,W,58,45
2013,1/12/13,Green Bay,Illinois Chicago,H,W,53,47
2013,1/17/13,Green Bay,Youngstown St.,H,W,67,58
2013,1/19/13,Green Bay,Cleveland St.,H,W,77,50
2013,1/23/13,Green Bay,Valparaiso,A,L,61,73
2013,1/25/13,Green Bay,Milwaukee,A,W,74,54
2013,1/31/13,Green Bay,Illinois Chicago,A,L,57,60
2013,2/2/13,Green Bay,Loyola Chicago,A,W,73,65
2013,2/7/13,Green Bay,Wright St.,H,L,68,70
2013,2/9/13,Green Bay,Detroit,H,W,68,59
2013,2/15/13,Green Bay,Cleveland St.,A,W,66,59
2013,2/17/13,Green Bay,Youngstown St.,A,W,71,54
2013,2/23/13,Green Bay,Drake,A,L,54,71
2013,2/26/13,Green Bay,Milwaukee,H,W,78,61
2013,3/2/13,Green Bay,Valparaiso,H,L,56,75
2013,3/5/13,Green Bay,Milwaukee,H,W,62,46
2013,3/8/13,Green Bay,Illinois Chicago,N,W,64,63
2013,3/9/13,Green Bay,Valparaiso,A,L,69,70
2013,3/20/13,Green Bay,Bradley,A,L,69,75
2013,11/12/12,Clemson,Presbyterian,H,W,77,44
2013,11/16/12,Clemson,Furman,A,W,72,55
2013,11/22/12,Clemson,Gonzaga,N,L,49,57
2013,11/23/12,Clemson,UTEP,N,W,69,48
2013,11/25/12,Clemson,Marist,N,W,59,44
2013,11/28/12,Clemson,Purdue,H,L,61,73
2013,12/2/12,Clemson,South Carolina,A,W,64,55
2013,12/8/12,Clemson,Arizona,H,L,54,66
2013,12/15/12,Clemson,Florida A&M,H,W,80,57
2013,12/19/12,Clemson,Coastal Carolina,A,L,46,69
2013,12/23/12,Clemson,South Carolina St.,H,W,77,41
2013,1/1/13,Clemson,The Citadel,H,W,92,51
2013,1/5/13,Clemson,Florida St.,H,L,66,71
2013,1/8/13,Clemson,Duke,A,L,40,68
2013,1/12/13,Clemson,Virginia,H,W,59,44
2013,1/15/13,Clemson,Wake Forest,H,W,60,44
2013,1/20/13,Clemson,North Carolina St.,A,L,62,66
2013,1/24/13,Clemson,Florida St.,A,L,57,60
2013,1/27/13,Clemson,Virginia Tech,H,W,77,70
2013,1/29/13,Clemson,Georgia Tech,H,W,63,60
2013,2/2/13,Clemson,Boston College,A,L,68,75
2013,2/7/13,Clemson,Virginia,A,L,41,78
2013,2/10/13,Clemson,North Carolina St.,H,L,57,58
2013,2/14/13,Clemson,Georgia Tech,A,W,56,53
2013,2/17/13,Clemson,Miami FL,H,L,43,45
2013,2/23/13,Clemson,Maryland,A,L,59,72
2013,2/28/13,Clemson,North Carolina,H,L,59,68
2013,3/2/13,Clemson,Virginia Tech,A,L,61,69
2013,3/5/13,Clemson,Boston College,H,L,61,68
2013,3/9/13,Clemson,Miami FL,A,L,49,62
2013,3/14/13,Clemson,Florida St.,N,L,69,73
2013,11/11/12,Florida Atlantic,North Carolina,A,L,56,80
2013,11/13/12,Florida Atlantic,Mississippi St.,A,L,58,78
2013,11/17/12,Florida Atlantic,Coppin St.,N,W,64,61
2013,11/18/12,Florida Atlantic,Elon,A,L,59,62
2013,11/24/12,Florida Atlantic,American,H,W,58,55
2013,11/29/12,Florida Atlantic,South Alabama,H,L,66,77
2013,12/1/12,Florida Atlantic,Arkansas St.,H,W,72,65
2013,12/6/12,Florida Atlantic,Stetson,A,W,88,78
2013,12/15/12,Florida Atlantic,Dayton,A,L,56,81
2013,12/18/12,Florida Atlantic,Stetson,H,L,68,69
2013,12/21/12,Florida Atlantic,Indiana,A,L,52,88
2013,12/27/12,Florida Atlantic,Troy,A,W,61,54
2013,12/29/12,Florida Atlantic,Louisiana Monroe,A,L,64,65
2013,1/1/13,Florida Atlantic,Hofstra,H,W,61,57
2013,1/3/13,Florida Atlantic,Louisiana Lafayette,H,W,75,70
2013,1/10/13,Florida Atlantic,Middle Tennessee,A,L,52,62
2013,1/12/13,Florida Atlantic,Western Kentucky,A,W,65,62
2013,1/17/13,Florida Atlantic,Troy,H,W,80,59
2013,1/19/13,Florida Atlantic,North Texas,H,L,59,61
2013,1/24/13,Florida Atlantic,Little Rock,A,L,62,65
2013,1/26/13,Florida Atlantic,Arkansas St.,A,L,38,63
2013,1/31/13,Florida Atlantic,Louisiana Monroe,H,W,76,71
2013,2/2/13,Florida Atlantic,Middle Tennessee,H,L,56,73
2013,2/7/13,Florida Atlantic,FIU,A,L,65,84
2013,2/9/13,Florida Atlantic,South Alabama,A,L,71,72
2013,2/14/13,Florida Atlantic,Western Kentucky,H,W,84,78
2013,2/16/13,Florida Atlantic,Louisiana Lafayette,A,L,57,58
2013,2/21/13,Florida Atlantic,North Texas,A,L,57,66
2013,2/23/13,Florida Atlantic,Little Rock,H,W,73,59
2013,3/2/13,Florida Atlantic,FIU,H,W,77,60
2013,3/8/13,Florida Atlantic,Troy,N,L,79,81
2013,11/14/12,Texas A&M Corpus Chr,Denver,A,L,51,68
2013,11/17/12,Texas A&M Corpus Chr,Utah St.,A,L,68,77
2013,11/25/12,Texas A&M Corpus Chr,Houston,H,L,75,77
2013,11/28/12,Texas A&M Corpus Chr,Toledo,A,L,68,80
2013,12/1/12,Texas A&M Corpus Chr,Iowa,A,L,59,88
2013,12/16/12,Texas A&M Corpus Chr,South Alabama,A,L,69,74
2013,12/18/12,Texas A&M Corpus Chr,Texas A&M,A,L,54,66
2013,12/21/12,Texas A&M Corpus Chr,UTSA,H,L,45,75
2013,12/29/12,Texas A&M Corpus Chr,Stephen F. Austin,H,L,56,67
2013,12/31/12,Texas A&M Corpus Chr,Oklahoma,A,L,42,72
2013,1/4/13,Texas A&M Corpus Chr,Sam Houston St.,A,L,57,61
2013,1/10/13,Texas A&M Corpus Chr,McNeese St.,A,L,71,75
2013,1/12/13,Texas A&M Corpus Chr,Lamar,A,W,62,56
2013,1/17/13,Texas A&M Corpus Chr,Oral Roberts,H,L,52,64
2013,1/19/13,Texas A&M Corpus Chr,Central Arkansas,H,L,67,76
2013,1/24/13,Texas A&M Corpus Chr,Nicholls St.,A,L,62,69
2013,1/26/13,Texas A&M Corpus Chr,Southeastern Louisia,A,L,53,67
2013,2/2/13,Texas A&M Corpus Chr,Sam Houston St.,H,L,51,55
2013,2/7/13,Texas A&M Corpus Chr,Lamar,H,L,63,67
2013,2/9/13,Texas A&M Corpus Chr,McNeese St.,H,W,61,58
2013,2/14/13,Texas A&M Corpus Chr,Central Arkansas,A,W,75,68
2013,2/16/13,Texas A&M Corpus Chr,Oral Roberts,A,L,51,56
2013,2/19/13,Texas A&M Corpus Chr,Northwestern St.,H,L,71,82
2013,2/23/13,Texas A&M Corpus Chr,Cal St. Fullerton,H,L,57,63
2013,2/28/13,Texas A&M Corpus Chr,Southeastern Louisia,H,W,78,64
2013,3/2/13,Texas A&M Corpus Chr,Nicholls St.,H,W,68,64
2013,3/7/13,Texas A&M Corpus Chr,Northwestern St.,A,L,51,66
2013,3/9/13,Texas A&M Corpus Chr,Stephen F. Austin,A,L,49,58
2013,11/15/12,James Madison,UCLA,A,L,70,100
2013,11/19/12,James Madison,Duquesne,A,L,88,90
2013,11/20/12,James Madison,Youngstown St.,N,W,69,68
2013,11/21/12,James Madison,North Dakota St.,N,L,44,66
2013,11/24/12,James Madison,Miami OH,A,L,58,76
2013,11/28/12,James Madison,George Washington,H,L,53,54
2013,12/1/12,James Madison,Winthrop,H,W,71,61
2013,12/5/12,James Madison,East Tennessee St.,H,W,70,45
2013,12/8/12,James Madison,Richmond,H,L,82,83
2013,12/16/12,James Madison,UNC Greensboro,H,W,85,73
2013,12/22/12,James Madison,San Jose St.,N,W,77,68
2013,12/23/12,James Madison,San Diego,N,W,62,59
2013,1/2/13,James Madison,Old Dominion,A,W,58,55
2013,1/5/13,James Madison,Georgia St.,A,L,52,68
2013,1/7/13,James Madison,Hampton,A,L,65,69
2013,1/9/13,James Madison,UNC Wilmington,H,W,78,50
2013,1/12/13,James Madison,Drexel,H,W,51,43
2013,1/15/13,James Madison,George Mason,A,L,57,68
2013,1/19/13,James Madison,Towson,A,L,47,73
2013,1/23/13,James Madison,Delaware,H,W,64,50
2013,1/26/13,James Madison,Old Dominion,H,W,56,46
2013,1/28/13,James Madison,UNC Wilmington,A,W,63,56
2013,1/31/13,James Madison,Hofstra,H,W,62,41
2013,2/2/13,James Madison,George Mason,H,L,63,74
2013,2/6/13,James Madison,William & Mary,H,W,81,71
2013,2/10/13,James Madison,Drexel,A,L,48,60
2013,2/12/13,James Madison,Towson,H,W,75,70
2013,2/17/13,James Madison,Delaware,A,W,72,71
2013,2/20/13,James Madison,Northeastern,A,L,64,66
2013,2/23/13,James Madison,Georgia St.,H,L,62,66
2013,3/2/13,James Madison,William & Mary,A,W,69,67
2013,3/9/13,James Madison,William & Mary,N,W,72,67
2013,3/10/13,James Madison,Delaware,N,W,58,57
2013,3/11/13,James Madison,Northeastern,N,W,70,57
2013,3/20/13,James Madison,LIU Brooklyn,N,W,68,55
2013,3/22/13,James Madison,Indiana,N,L,62,83
2013,11/9/12,Minnesota,American,H,W,72,36
2013,11/12/12,Minnesota,Toledo,H,W,82,56
2013,11/15/12,Minnesota,Tennessee St.,H,W,72,43
2013,11/18/12,Minnesota,Richmond,H,W,72,57
2013,11/22/12,Minnesota,Duke,N,L,71,89
2013,11/23/12,Minnesota,Memphis,N,W,84,75
2013,11/24/12,Minnesota,Stanford,N,W,66,63
2013,11/27/12,Minnesota,Florida St.,A,W,77,68
2013,12/1/12,Minnesota,North Florida,H,W,87,59
2013,12/4/12,Minnesota,South Dakota St.,H,W,88,64
2013,12/8/12,Minnesota,USC,A,W,71,57
2013,12/11/12,Minnesota,North Dakota St.,H,W,70,57
2013,12/22/12,Minnesota,Lafayette,H,W,75,50
2013,12/31/12,Minnesota,Michigan St.,H,W,76,63
2013,1/6/13,Minnesota,Northwestern,H,W,69,51
2013,1/9/13,Minnesota,Illinois,A,W,84,67
2013,1/12/13,Minnesota,Indiana,A,L,81,88
2013,1/17/13,Minnesota,Michigan,H,L,75,83
